"module name","license","repository"
"@mapbox/node-pre-gyp@1.0.11","BSD-3-Clause","https://github.com/mapbox/node-pre-gyp"
"@mongodb-js/saslprep@1.1.9","MIT","https://github.com/mongodb-js/devtools-shared"
"@types/node@22.9.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/webidl-conversions@7.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/whatwg-url@11.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"append-field@1.0.0","MIT","https://github.com/LinusU/node-append-field"
"aproba@2.0.0","ISC","https://github.com/iarna/aproba"
"are-we-there-yet@2.0.0","ISC","https://github.com/npm/are-we-there-yet"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"backend@1.0.0","ISC",""
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"bcrypt@5.1.1","MIT","https://github.com/kelektiv/node.bcrypt.js"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"body-parser@1.20.3","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.3","MIT","https://github.com/micromatch/braces"
"bson@6.8.0","Apache-2.0","https://github.com/mongodb/js-bson"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"busboy@1.6.0","MIT","https://github.com/mscdex/busboy"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind@1.0.7","MIT","https://github.com/ljharb/call-bind"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"chownr@2.0.0","ISC","https://github.com/isaacs/chownr"
"color-support@1.1.3","ISC","https://github.com/isaacs/color-support"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
"console-control-strings@1.1.0","ISC","https://github.com/iarna/console-control-strings"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.6.0","MIT","https://github.com/jshttp/cookie"
"core-util-is@1.0.3","MIT","https://github.com/isaacs/core-util-is"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@4.3.7","MIT","https://github.com/debug-js/debug"
"define-data-property@1.1.4","MIT","https://github.com/ljharb/define-data-property"
"delegates@1.0.0","MIT","https://github.com/visionmedia/node-delegates"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"detect-libc@2.0.3","Apache-2.0","https://github.com/lovell/detect-libc"
"dotenv@16.4.5","BSD-2-Clause","https://github.com/motdotla/dotenv"
"ecdsa-sig-formatter@1.0.11","Apache-2.0","https://github.com/Brightspace/node-ecdsa-sig-formatter"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"encodeurl@2.0.0","MIT","https://github.com/pillarjs/encodeurl"
"es-define-property@1.0.0","MIT","https://github.com/ljharb/es-define-property"
"es-errors@1.3.0","MIT","https://github.com/ljharb/es-errors"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"express@4.21.0","MIT","https://github.com/expressjs/express"
"fill-range@7.1.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@1.3.1","MIT","https://github.com/pillarjs/finalhandler"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"fs-minipass@2.1.0","ISC","https://github.com/npm/fs-minipass"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"function-bind@1.1.2","MIT","https://github.com/Raynos/function-bind"
"gauge@3.0.2","ISC","https://github.com/iarna/gauge"
"get-intrinsic@1.2.4","MIT","https://github.com/ljharb/get-intrinsic"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"gopd@1.0.1","MIT","https://github.com/ljharb/gopd"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-property-descriptors@1.0.2","MIT","https://github.com/inspect-js/has-property-descriptors"
"has-proto@1.0.3","MIT","https://github.com/inspect-js/has-proto"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"has-unicode@2.0.1","ISC","https://github.com/iarna/has-unicode"
"hasown@2.0.2","MIT","https://github.com/inspect-js/hasOwn"
"http-errors@2.0.0","MIT","https://github.com/jshttp/http-errors"
"https-proxy-agent@5.0.1","MIT","https://github.com/TooTallNate/node-https-proxy-agent"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"ignore-by-default@1.0.1","ISC","https://github.com/novemberborn/ignore-by-default"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"jsonwebtoken@9.0.2","MIT","https://github.com/auth0/node-jsonwebtoken"
"jwa@1.4.1","MIT","https://github.com/brianloveswords/node-jwa"
"jws@3.2.2","MIT","https://github.com/brianloveswords/node-jws"
"kareem@2.6.3","Apache-2.0","https://github.com/mongoosejs/kareem"
"lodash.includes@4.3.0","MIT","https://github.com/lodash/lodash"
"lodash.isboolean@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isinteger@4.0.4","MIT","https://github.com/lodash/lodash"
"lodash.isnumber@3.0.3","MIT","https://github.com/lodash/lodash"
"lodash.isplainobject@4.0.6","MIT","https://github.com/lodash/lodash"
"lodash.isstring@4.0.1","MIT","https://github.com/lodash/lodash"
"lodash.once@4.1.1","MIT","https://github.com/lodash/lodash"
"make-dir@3.1.0","MIT","https://github.com/sindresorhus/make-dir"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"memory-pager@1.5.0","MIT","https://github.com/mafintosh/memory-pager"
"merge-descriptors@1.0.3","MIT","https://github.com/sindresorhus/merge-descriptors"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"minipass@3.3.6","ISC","https://github.com/isaacs/minipass"
"minipass@5.0.0","ISC","https://github.com/isaacs/minipass"
"minizlib@2.1.2","MIT","https://github.com/isaacs/minizlib"
"mkdirp@0.5.6","MIT","https://github.com/substack/node-mkdirp"
"mkdirp@1.0.4","MIT","https://github.com/isaacs/node-mkdirp"
"mongodb-connection-string-url@3.0.1","Apache-2.0","https://github.com/mongodb-js/mongodb-connection-string-url"
"mongodb@6.8.0","Apache-2.0","https://github.com/mongodb/node-mongodb-native"
"mongoose@8.6.3","MIT","https://github.com/Automattic/mongoose"
"mpath@0.9.0","MIT","https://github.com/aheckmann/mpath"
"mquery@5.0.0","MIT","https://github.com/aheckmann/mquery"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"multer@1.4.5-lts.1","MIT","https://github.com/expressjs/multer"
"negotiator@0.6.3","MIT","https://github.com/jshttp/negotiator"
"node-addon-api@5.1.0","MIT","https://github.com/nodejs/node-addon-api"
"node-cron@3.0.3","ISC","https://github.com/merencia/node-cron"
"node-fetch@2.7.0","MIT","https://github.com/bitinn/node-fetch"
"nodemailer@6.9.16","MIT-0","https://github.com/nodemailer/nodemailer"
"nodemon@3.1.7","MIT","https://github.com/remy/nodemon"
"nopt@5.0.0","ISC","https://github.com/npm/nopt"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path"
"npmlog@5.0.1","ISC","https://github.com/npm/npmlog"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-inspect@1.13.2","MIT","https://github.com/inspect-js/object-inspect"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-to-regexp@0.1.10","MIT","https://github.com/pillarjs/path-to-regexp"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"pstree.remy@1.1.8","MIT","https://github.com/remy/pstree"
"punycode@2.3.1","MIT","https://github.com/mathiasbynens/punycode.js"
"qs@6.13.0","BSD-3-Clause","https://github.com/ljharb/qs"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@2.5.2","MIT","https://github.com/stream-utils/raw-body"
"readable-stream@2.3.8","MIT","https://github.com/nodejs/readable-stream"
"readable-stream@3.6.2","MIT","https://github.com/nodejs/readable-stream"
"readdirp@3.6.0","MIT","https://github.com/paulmillr/readdirp"
"rimraf@3.0.2","ISC","https://github.com/isaacs/rimraf"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"semver@6.3.1","ISC","https://github.com/npm/node-semver"
"semver@7.6.3","ISC","https://github.com/npm/node-semver"
"send@0.19.0","MIT","https://github.com/pillarjs/send"
"serve-static@1.16.2","MIT","https://github.com/expressjs/serve-static"
"set-blocking@2.0.0","ISC","https://github.com/yargs/set-blocking"
"set-function-length@1.2.2","MIT","https://github.com/ljharb/set-function-length"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"side-channel@1.0.6","MIT","https://github.com/ljharb/side-channel"
"sift@17.1.3","MIT","https://github.com/crcn/sift.js"
"signal-exit@3.0.7","ISC","https://github.com/tapjs/signal-exit"
"simple-update-notifier@2.0.0","MIT","https://github.com/alexbrazier/simple-update-notifier"
"sparse-bitfield@3.0.3","MIT","https://github.com/mafintosh/sparse-bitfield"
"statuses@2.0.1","MIT","https://github.com/jshttp/statuses"
"streamsearch@1.1.0","MIT","https://github.com/mscdex/streamsearch"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"stripe@17.4.0","MIT","https://github.com/stripe/stripe-node"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"tar@6.2.1","ISC","https://github.com/isaacs/node-tar"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"touch@3.1.1","ISC","https://github.com/isaacs/node-touch"
"tr46@0.0.3","MIT","https://github.com/Sebmaster/tr46.js"
"tr46@4.1.1","MIT","https://github.com/jsdom/tr46"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"typedarray@0.0.6","MIT","https://github.com/substack/typedarray"
"undefsafe@2.0.5","MIT","https://github.com/remy/undefsafe"
"undici-types@6.19.8","MIT","https://github.com/nodejs/undici"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"uuid@8.3.2","MIT","https://github.com/uuidjs/uuid"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"webidl-conversions@3.0.1","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"webidl-conversions@7.0.0","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"whatwg-url@13.0.0","MIT","https://github.com/jsdom/whatwg-url"
"whatwg-url@5.0.0","MIT","https://github.com/jsdom/whatwg-url"
"wide-align@1.1.5","ISC","https://github.com/iarna/wide-align"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
"xtend@4.0.2","MIT","https://github.com/Raynos/xtend"
"yallist@4.0.0","ISC","https://github.com/isaacs/yallist"
